index_x,conversation_num,gini_coefficient_num_words,gini_coefficient_num_chars,average_num_words,stdev_num_words,min_num_words,max_num_words,average_num_chars,stdev_num_chars,min_num_chars,max_num_chars,average_num_messages,stdev_num_messages,min_num_messages,max_num_messages,average_positive_sentiment,stdev_positive_sentiment,min_positive_sentiment,max_positive_sentiment,average_negative_sentiment,stdev_negative_sentiment,min_negative_sentiment,max_negative_sentiment,average_neutral_sentiment,stdev_neutral_sentiment,min_neutral_sentiment,max_neutral_sentiment,index_y,batch_num,round_num,speaker_hash,timestamp,majority_pct,num_votes
2007,44,0.20067491563554557,0.19468560905024992,90.71428571428571,35.24896872134513,15,126,465.42857142857144,177.9188074398441,78,659,9.142857142857142,4.257046978786097,2,15,1.7364476,1.0839213,0.4656815,4.0721292,2.589647,1.705307,0.87618625,6.0515757,4.8167624,2.1894767,0.6581323,7.773823,2007,22,1,5ea099d09dc0406f898830a9,2020-04-22T20:04:06.846Z,1.0,6
2071,45,0.18021201413427562,0.16999230571941523,80.85714285714286,25.78719821610589,45,124,397.85714285714283,121.74965951425382,215,593,9.0,4.840306956027833,5,20,1.9696925,1.8014491,0.44265997,5.9798126,2.6820438,0.962645,0.9199741,3.832581,4.3482637,3.1647196,1.2487831,11.124638,2071,22,2,5d482eaa21c9be351f763da6,2020-04-22T20:19:06.764Z,1.0,6
2134,46,0.09792780748663102,0.10984262125902992,93.5,16.20185174601965,67,119,484.5,93.552124508212,342,632,4.25,0.9682458365518543,3,6,0.5275085,0.2709912,0.0831736,0.8906439,1.3184456,0.5337567,0.29594198,2.1830797,2.404046,0.7959819,1.569682,4.01475,2134,23,0,5d482ea721c9be351f762e70,2020-04-22T20:07:53.737Z,1.0,6
2168,47,0.2394303515798843,0.23428398843681236,91.71428571428571,40.13446785749229,41,170,473.0,201.2560558095085,218,854,5.857142857142857,2.0303814862216996,3,9,0.70658785,0.5805841,0.10111889,1.7397814,2.247606,0.8688739,0.9044395,3.347684,2.902949,1.377722,1.3731384,4.8434124,2168,23,3,5d482ea821c9be351f763382,2020-04-22T20:52:31.933Z,1.0,7
2209,48,0.16219723183391002,0.1657364211929357,72.25,20.69873184521216,36,101,375.125,109.82877298322148,196,519,5.375,2.496873044429772,2,9,0.91011447,0.70660603,0.060983904,1.8875343,2.0233052,0.87229896,0.34127238,3.6991918,2.4415805,1.2043043,0.98785627,4.5775714,2209,24,0,5d482ea721c9be351f762f36,2020-04-22T20:11:04.326Z,1.0,7
2252,49,0.20098784194528876,0.19742750589847016,107.42857142857143,39.30415151775461,52,151,536.2857142857143,191.97746466389097,268,766,7.714285714285714,2.1189138534559038,4,11,0.8826068,0.46244603,0.11177149,1.7470987,3.3746922,1.348553,1.4110926,5.138612,3.4569871,1.2143831,1.6541153,5.359275,2252,24,3,5d482ea721c9be351f762f60,2020-04-22T20:55:29.873Z,0.6666666666666666,6
2306,50,0.28135593220338984,0.29023861171366594,70.8,39.58484558514786,36,146,368.8,214.12463660214348,176,778,4.4,1.7435595774162693,2,7,0.18277678,0.11788099,0.054407015,0.37560952,2.279592,1.0117831,0.77332175,3.854732,1.9376309,0.7176851,1.1346376,3.0095134,2306,25,0,5d482ea721c9be351f762efd,2020-04-22T20:12:46.659Z,0.75,4
2328,51,0.2695035460992908,0.2652336448598131,84.6,40.93213896194529,21,132,428.0,202.39466396128134,118,676,5.2,2.1354156504062622,2,8,0.6236278,0.33781344,0.18936041,1.2315177,1.8932556,1.375784,0.57181907,3.7616744,2.6831167,0.95714664,1.2318242,4.0932145,2328,25,3,5d482ea921c9be351f76365b,2020-04-22T20:56:56.849Z,0.75,4
2354,52,0.22126022126022127,0.22081008974048022,84.85714285714286,34.64278350507638,30,132,420.7142857142857,174.332780530074,138,658,6.285714285714286,2.602981022612657,3,12,1.0253747,1.1603752,0.20467557,3.8159785,1.7681596,0.8880798,0.77350736,3.4630527,3.4921799,1.4940457,1.5491881,6.6214595,2354,26,0,5d482ea721c9be351f762ef8,2020-04-22T20:15:59.990Z,1.0,3
2398,53,0.2141732283464567,0.23276231263383299,76.2,31.095980447639853,27,125,373.6,163.62102554378518,125,637,4.8,1.6,2,7,0.5613882,0.58859724,0.06961878,1.5758784,1.8903544,0.8887008,0.8895524,3.408402,2.3482575,0.89759284,1.0408288,3.2578273,2398,26,2,5d482ea721c9be351f762ef8,2020-04-22T20:45:51.327Z,0.6666666666666666,3
2422,54,0.20233669676048857,0.20024772914946326,76.85714285714286,29.283972073613292,47,121,395.42857142857144,147.4166661859769,229,609,5.857142857142857,2.4743582965269675,3,11,1.416199,1.0491525,0.107743666,3.7386796,1.6471184,0.66525376,0.61683315,2.7177618,2.7938254,1.2652557,1.1200125,5.1909866,2422,27,1,5e9f366c9dc0406f8987761f,2020-04-22T20:57:36.748Z,1.0,6
2463,55,0.2824858757062147,0.28314317853125504,50.57142857142857,25.319992907114457,16,87,254.0,129.07251560930501,73,422,3.4285714285714284,1.9897697538834456,1,7,0.36637065,0.5257095,0.0053191087,1.5972258,1.892792,0.999554,0.665298,3.4440904,1.1694089,0.8687647,0.054329637,2.6827865,2463,27,3,5e9f366c9dc0406f8987761f,2020-04-22T21:27:34.636Z,1.0,2
